Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
G1,,,,05-09-2024 18:45:53,05-09-2024 18:46:45,51.250s,FAILED
,,,,,,,
Test Cases/Google,,,,05-09-2024 18:46:09,05-09-2024 18:46:13,3.785s,FAILED
"openBrowser("""")",,,,05-09-2024 18:46:09,05-09-2024 18:46:13,3.757s,FAILED
,,,,,,,
Test Cases/Google1,,,,05-09-2024 18:46:23,05-09-2024 18:46:27,4.098s,FAILED
"openBrowser("""")",,,,05-09-2024 18:46:23,05-09-2024 18:46:27,4.079s,FAILED
,,,,,,,
Test Cases/Google4,,,,05-09-2024 18:46:34,05-09-2024 18:46:36,1.391s,FAILED
"openBrowser("""")",,,,05-09-2024 18:46:34,05-09-2024 18:46:36,1.383s,FAILED
,,,,,,,
Test Cases/Google3,,,,05-09-2024 18:46:39,05-09-2024 18:46:40,1.073s,FAILED
"openBrowser("""")",,,,05-09-2024 18:46:39,05-09-2024 18:46:40,1.068s,FAILED
,,,,,,,
Test Cases/Google2,,,,05-09-2024 18:46:43,05-09-2024 18:46:45,1.086s,FAILED
"openBrowser("""")",,,,05-09-2024 18:46:43,05-09-2024 18:46:45,1.081s,FAILED
